,id,title,overview,original_language,runtime,origin_country,budget,revenue,release_date,genres,production_companies,revenue_per_budget,yearmonthday,yearmonth,year
30,82703,Mr. Peabody & Sherman,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-machine is stolen and moments in history begin to be changed.",en,92,US,145000000,272912430,2014-02-07,"Animation, Adventure, Family","Pacific Data Images, DreamWorks Animation, Bullwinkle Studios",1.8821546896551724,20140207,201402,2014
31,195589,Neighbors,A couple with a newborn baby face unexpected difficulties after they are forced to live next to a fraternity house.,en,97,US,18000000,270665134,2014-05-08,Comedy,"Good Universe, Universal Pictures, Point Grey Pictures",15.036951888888888,20140508,201405,2014
32,147441,Exodus: Gods and Kings,"The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.",en,150,GB,140000000,268031828,2014-12-03,"Adventure, Drama, Action","20th Century Fox, TSG Entertainment, Chernin Entertainment, Babieka Films, Volcano Films, Scott Free Productions",1.9145130571428572,20141203,201412,2014
32,147441,Exodus: Gods and Kings,"The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.",en,150,US,140000000,268031828,2014-12-03,"Adventure, Drama, Action","20th Century Fox, TSG Entertainment, Chernin Entertainment, Babieka Films, Volcano Films, Scott Free Productions",1.9145130571428572,20141203,201412,2014
33,250546,Annabelle,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,en,99,US,6500000,257589952,2014-10-01,Horror,"Atomic Monster, New Line Cinema, The Safran Company, RatPac Entertainment",39.629223384615386,20141001,201410,2014
34,184315,Hercules,"When a new enemy threatens the innocent, Hercules must lead his fearless team of warriors in a battle against overwhelming odds.",en,98,US,100000000,244819862,2014-07-23,"Action, Adventure","Paramount Pictures, Radical Studios, Flynn Picture Company, Metro-Goldwyn-Mayer",2.44819862,20140723,201407,2014
35,97020,RoboCop,"In RoboCop, the year is 2028 and multinational conglomerate OmniCorp is at the center of robot technology.  Overseas, their drones have been used by the military for years, but have been forbidden for law enforcement in America.  Now OmniCorp wants to bring their controversial technology to the home front, and they see a golden opportunity to do it.  When Alex Murphy – a loving husband, father and good cop doing his best to stem the tide of crime and corruption in Detroit – is critically injured, OmniCorp sees their chance to build a part-man, part-robot police officer.  OmniCorp envisions a RoboCop in every city and even more billions for their shareholders, but they never counted on one thing: there is still a man inside the machine.",en,118,US,120000000,242688965,2014-01-30,"Science Fiction, Action, Crime","Metro-Goldwyn-Mayer, Columbia Pictures, Strike Entertainment",2.0224080416666665,20140130,201401,2014
36,205596,The Imitation Game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",en,113,US,14000000,233555708,2014-11-14,"History, Drama, Thriller, War","Bristol Automotive, Black Bear Pictures, FilmNation Entertainment",16.68255057142857,20141114,201411,2014
37,225574,Non-Stop,"Bill Marks is a Federal Air Marshall for whom every day is the same until this one. On this plane ride, he starts receiving text messages from someone claiming to be on the flight and threatening to kill passengers. In a race against the clock, he must identify and stop the killer to save everyone on board.",en,107,US,50000000,222809600,2014-02-26,"Action, Thriller, Mystery","Silver Pictures, StudioCanal, Anton Capital Entertainment, LOVEFiLM International",4.456192,20140226,201402,2014
38,49017,Dracula Untold,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire, Dracula.",en,92,US,70000000,217124280,2014-10-01,"Horror, Action, Fantasy","Universal Pictures, Legendary Pictures, Michael De Luca Productions",3.1017754285714285,20141001,201410,2014
