,id,title,revenue,budget,revenue_per_budget,genres,production_companies,yearmonthday,yearmonth,year
23,198663,The Maze Runner,348319861,34000000,10.244701794117647,Action,"Ingenious Media, The Gotham Group, Dayday Films, Temple Hill Entertainment, TSG Entertainment, 20th Century Fox",20140910,201409,2014
23,198663,The Maze Runner,348319861,34000000,10.244701794117647,Mystery,"Ingenious Media, The Gotham Group, Dayday Films, Temple Hill Entertainment, TSG Entertainment, 20th Century Fox",20140910,201409,2014
23,198663,The Maze Runner,348319861,34000000,10.244701794117647,Science Fiction,"Ingenious Media, The Gotham Group, Dayday Films, Temple Hill Entertainment, TSG Entertainment, 20th Century Fox",20140910,201409,2014
23,198663,The Maze Runner,348319861,34000000,10.244701794117647,Thriller,"Ingenious Media, The Gotham Group, Dayday Films, Temple Hill Entertainment, TSG Entertainment, 20th Century Fox",20140910,201409,2014
24,53182,300: Rise of an Empire,337580051,110000000,3.0689095545454546,Action,"Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Nimar Studios, Warner Bros. Pictures, Cruel & Unusual Films",20140305,201403,2014
24,53182,300: Rise of an Empire,337580051,110000000,3.0689095545454546,Drama,"Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Nimar Studios, Warner Bros. Pictures, Cruel & Unusual Films",20140305,201403,2014
24,53182,300: Rise of an Empire,337580051,110000000,3.0689095545454546,War,"Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Nimar Studios, Warner Bros. Pictures, Cruel & Unusual Films",20140305,201403,2014
25,187017,22 Jump Street,331333876,50000000,6.62667752,Crime,"Columbia Pictures, Original Film, MRC, Metro-Goldwyn-Mayer, Cannell Studios, JHF Productions, 33andOut Productions",20140605,201406,2014
25,187017,22 Jump Street,331333876,50000000,6.62667752,Comedy,"Columbia Pictures, Original Film, MRC, Metro-Goldwyn-Mayer, Cannell Studios, JHF Productions, 33andOut Productions",20140605,201406,2014
25,187017,22 Jump Street,331333876,50000000,6.62667752,Action,"Columbia Pictures, Original Film, MRC, Metro-Goldwyn-Mayer, Cannell Studios, JHF Productions, 33andOut Productions",20140605,201406,2014
26,116149,Paddington,326088587,55000000,5.9288834,Comedy,"StudioCanal, Anton Capital Entertainment, Heyday Films, TF1 Films Production, Dimension Films",20141124,201411,2014
26,116149,Paddington,326088587,55000000,5.9288834,Adventure,"StudioCanal, Anton Capital Entertainment, Heyday Films, TF1 Films Production, Dimension Films",20141124,201411,2014
26,116149,Paddington,326088587,55000000,5.9288834,Family,"StudioCanal, Anton Capital Entertainment, Heyday Films, TF1 Films Production, Dimension Films",20141124,201411,2014
27,260346,Taken 3,325800000,48000000,6.7875,Thriller,"EuropaCorp, 20th Century Fox, M6 Films, TSG Entertainment, Meñakoz Films",20141216,201412,2014
27,260346,Taken 3,325800000,48000000,6.7875,Action,"EuropaCorp, 20th Century Fox, M6 Films, TSG Entertainment, Meñakoz Films",20141216,201412,2014
28,222935,The Fault in Our Stars,307166834,14000000,21.94048814285714,Romance,"TSG Entertainment, Fox 2000 Pictures, Temple Hill Entertainment",20140516,201405,2014
28,222935,The Fault in Our Stars,307166834,14000000,21.94048814285714,Drama,"TSG Entertainment, Fox 2000 Pictures, Temple Hill Entertainment",20140516,201405,2014
29,157350,Divergent,288885818,85000000,3.398656682352941,Action,"Summit Entertainment, Red Wagon Entertainment",20140314,201403,2014
29,157350,Divergent,288885818,85000000,3.398656682352941,Adventure,"Summit Entertainment, Red Wagon Entertainment",20140314,201403,2014
29,157350,Divergent,288885818,85000000,3.398656682352941,Science Fiction,"Summit Entertainment, Red Wagon Entertainment",20140314,201403,2014
30,82703,Mr. Peabody & Sherman,272912430,145000000,1.8821546896551724,Animation,"Pacific Data Images, DreamWorks Animation, Bullwinkle Studios",20140207,201402,2014
