id,title,overview,original_language,runtime,origin_country,budget,revenue,release_date,genres,production_companies
584850,Tanhaji: The Unsung Warrior,"When Aurangzeb recruits his trusted soldier Udaybhan to control the Kondhana fort, Shivaji's military leader Tanhaji Malusare and his army of Maratha warriors set out to recapture the fortress.",hi,135,['IN'],16440000,48375000,01-10-20,"Action, Drama, History","T-Series, Viacom18 Studios, Ajay Devgn FFilms"
613504,After We Collided,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,en,105,['US'],14000000,47990414,09-02-20,"Romance, Drama","Voltage Pictures, Offspring Entertainment, Frayed Pages Entertainment, Wattpad"
607313,Sarileru Neekevvaru,A tough army major is deployed to Kurnool on a mission to keep the country safe from external threats.,te,169,['IN'],11000000,46892742,01-10-20,Action,"G. Mahesh Babu Entertainment Pvt. Ltd, AK Entertainments"
425001,The War with Grandpa,"Peter is thrilled that his Grandpa is coming to live with his family. That is, until Grandpa moves into Peter's room, forcing him upstairs into the creepy attic. And though he loves his Grandpa, he wants his room back - so he has no choice but to declare war.",en,98,['US'],18000000,43387445,08-27-20,"Comedy, Family","Marro Films, EFO Films, Tri G, West Madison Entertainment"
581392,Peninsula,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,ko,115,['KR'],17000000,42698327,07-15-20,"Horror, Action, Thriller, Adventure","Next Entertainment World, RedPeter Films, Contents Panda, Union Investment Partners, Michigan Venture Capital"
458576,Monster Hunter,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",en,103,['CN'],60000000,42145959,12-03-20,"Action, Fantasy, Adventure","Capcom, Constantin Film, Tencent Pictures, TOHO, AB² Digital Pictures"
443791,Underwater,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",en,95,['US'],50000000,40882928,01-08-20,"Horror, Science Fiction, Action, Adventure","Chernin Entertainment, 20th Century Fox, TSG Entertainment"
338762,Bloodshot,"After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.",en,110,"['CA', 'CN', 'ZA', 'US']",42000000,39861118,03-05-20,"Action, Science Fiction, Adventure","Cross Creek Pictures, Original Film, Columbia Pictures, Bona Film Group, The Hideaway Entertainment"
625568,Unhinged,"Rachel is a divorced single mother whose bad day gets even worse. She's running late to drop her son off at school when she honks her horn impatiently at a fellow driver during rush-hour traffic. After an exchange of words, she soon realizes that the mysterious man is following her and her young son in his truck. A case of road rage quickly escalates, at horrifyingly psychotic proportions, into full-blown terror as Rachel discovers the psychopath's sinister plan for revenge. He is single-mindedly determined to teach her a deadly lesson.",en,90,"['US', 'GB']",33000000,39238300,07-16-20,"Action, Thriller, Horror","Solstice Studios, Burek Films, Ingenious Media, Altitude Film Entertainment"
657350,The Confidence Man JP – Episode of the Princess –,"Set in Langkawi, Malaysia, professional scammers Dako (Masami Nagasawa), Boku-chan (Masahiro Higashide), and Richard (Fumiyo Kohinata) target the Fuu Family for their next heist. Raymond Fuu, who was the head of the Fuu Family, passed away and he left behind 10 trillion yen. Dako, Boku-chan and Richard scheme to gain the inordinate inheritance. --asianwiki",ja,124,['JP'],0,35762324,07-23-20,"Comedy, Mystery","TOHO, Fuji Television Network, FILM, Okinawa Television Broadcasting, Kagoshima Television Station, Miyazaki Telecasting, Television Oita System, Kumamoto Kenmin Televisions, Television Nagasaki, Saga Television Station, Television Nishinippon Corporation, Kochi Sun Sun Broadcasting, Ehime Broadcasting, Television Shin-Hiroshima System, Okayama Broadcasting, San-in Chuo Television Broadcasting, Kansai Television, Tokai Television Broadcasting, Fukui Television Broadcasting, Ishikawa Television Broadcasting, Toyama Television, Shizuoka Telecasting, Nagano Broadcasting System, Niigata Sogo Television, Fukushima Television Broadcasting, Sakuranbo Television Broadcasting Corporation, Akita Television, Sendai Television, Iwate Menkoi Television, Hokkaido Cultural Broadcasting"
581526,Deliver Us from Evil,"A retired contract killer goes on a bloody rampage when a young girl finds herself at the mercy of gangland human traffickers and only one man can come to her rescue, with an arsenal of weapons and years of experience in the art of killing.",ko,108,['KR'],12000000,34662454,08-05-20,"Crime, Action, Drama","Hive Media Corp, CJ Entertainment"
682153,Doraemon: Nobita's New Dinosaur,Nobita accidentally finds a fossil dinosaur egg mixed with rocks in the dinosaur fossil exhibition site that he had visited before. He returns it to its original state with the 'time blanket'.,ja,111,['JP'],0,34218525,08-07-20,"Animation, Adventure, Family, Fantasy, Science Fiction, Comedy","Fujiko Productions, Shin-Ei Animation, Shogakukan, TV Asahi, ADK Emotions, Shogakukan-Shueisha Productions"
1537866,다만 악에서 구하소서 파이널컷,,ko,0,['KR'],11000000,34000000,10-28-20,,
628241,Ala Vaikunthapurramuloo,"After growing up enduring criticism from his father, a young man finds his world shaken upon learning he was switched at birth with a millionaire's son.",te,165,['IN'],11450000,34000000,01-12-20,"Action, Comedy, Drama","Geetha Arts, Haarika & Hassine Creations"
514207,Invasion,"Two years after the fall of the alien ship, the life of a young woman from Moscow has been changed forever. Her growing powers are now at the focus of both human and celestial investigation: an alien force takes an interest in her, and will stop short of nothing, including an invasion. Can love and compassion save humanity, when faced with a much greater and more demanding test this time?",ru,129,['RU'],8819200,32104054,02-27-20,"Science Fiction, Drama, Action","Cinema Foundation of Russia, Art Pictures Studio, Vodorod Film Company"
553604,Honest Thief,"A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.",en,99,['US'],0,31220247,09-03-20,"Thriller, Action, Crime","The Solution, Dreadnought Films, Zero Gravity Management, Argonaut Entertainment Partners, Honest Thief Productions, Ingenious Media, J Cubed Film Finance, Samuel Marshall Productions, Sprockefeller Pictures, Open Road Films"
531219,Roald Dahl's The Witches,"In late 1967, a young orphaned boy goes to live with his loving grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered.",en,106,['US'],0,29303571,10-26-20,"Comedy, Fantasy, Family, Horror","ImageMovers, Warner Bros. Pictures, Necropia Entertainment, Esperanto Filmoj, The Roald Dahl Story Company"
385103,Scoob!,"In Scooby-Doo’s greatest adventure yet, see the never-before told story of how lifelong friends Scooby and Shaggy first met and how they joined forces with young detectives Fred, Velma, and Daphne to form the famous Mystery Inc. Now, with hundreds of cases solved, Scooby and the gang face their biggest, toughest mystery ever: an evil plot to unleash the ghost dog Cerberus upon the world. As they race to stop this global “dogpocalypse,” the gang discovers that Scooby has a secret legacy and an epic destiny greater than anyone ever imagined.",en,93,['US'],90000000,28600000,07-08-20,"Animation, Comedy, Family, Mystery","Warner Animation Group, Warner Bros. Pictures, Atlas Entertainment, 1492 Pictures, Reel FX Creative Studios"
589754,The Last Warrior: Root of Evil,"Peace and tranquility have set in Belogorie. The evil was defeated and Ivan is now enjoying his well-deserved fame. He is surrounded by his family, friends and small wonders from the modern world that help him lead a comfortable life. Luckily, he has his Magic Sword to cut a gap between the worlds to get some supplies quite regularly. But when an ancient evil rises and the existence of the magic world is put to danger, Ivan has to team up with his old friends and his new rivals. They will set out on a long journey beyond the known world to find a way to defeat the enemies and to return peace to Belogorie.",ru,120,['RU'],8400000,27658331,12-24-20,"Fantasy, Adventure, Comedy","Yellow, Black & White, The Walt Disney Company CIS, Cinema Foundation of Russia, Russia-1, START Studio, All Media A Start Company"
634649,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",en,148,['US'],200000000,1921847111,12-15-21,"Action, Adventure, Science Fiction","Marvel Studios, Pascal Pictures, Columbia Pictures"
779029,The Battle at Lake Changjin,"Korean War, winter 1950. In the frozen and snowy area of Changjin Lake, a bloody battle is about to begin between the elite troops of the United States and China.",zh,178,['CN'],200000000,902540935,09-30-21,"Drama, War","Bona Film Group, Shanghai Film Group, DF Pictures, Alibaba Pictures Group, China Film Group Corporation, Distribution Workshop, Huaxia Film Distribution, Just Creative Studio"
